,n_neighbors,weights,p,auc (mean),auc (std),auc (se)
257,127,uniform,4,0.8280975021488584,0.014920761881873952,0.006672767568791568
258,191,uniform,1,0.830111609599631,0.018131747841309154,0.008108764144810467
259,106,uniform,5,0.8284548726670475,0.014278335701259562,0.006385465846715702
260,78,uniform,1,0.8309835497696529,0.016370141790076016,0.007320949968784012
261,25,distance,2,0.8142548670328461,0.015301744376654419,0.006843148120104885
262,68,distance,5,0.8233973743311024,0.01303015729765811,0.005827263495015699
263,136,distance,3,0.8246756616255849,0.01335797479220457,0.005973867935419609
264,50,distance,2,0.8218720453199442,0.01437019160975291,0.006426545057820927
265,161,uniform,2,0.8282382621895292,0.015774806200642436,0.007054707799304334
266,34,uniform,4,0.827651275032888,0.015815400378732174,0.0070728620676442115
267,76,uniform,5,0.8296229261552733,0.014931081461760934,0.006677382625216875
268,92,uniform,1,0.8312648765847829,0.01688332657534412,0.0075504531817596355
269,69,distance,4,0.8234363584190693,0.012751189942171798,0.0057025055009415505
270,96,uniform,5,0.8278685799584903,0.015163517267559741,0.006781331077651089
271,126,uniform,1,0.8307964729899003,0.018147537531327185,0.00811582550885526
272,62,uniform,5,0.8294193185629902,0.014004383897059366,0.006262950875365632
273,95,distance,2,0.8237971913505836,0.013249540788166246,0.005925374774599174
274,79,uniform,3,0.8289478358115085,0.015167752604128684,0.006783225177746239
275,109,distance,4,0.82388682756461,0.012036699446099936,0.005382975637242705
276,172,distance,4,0.8240553425987557,0.011988748790746252,0.005361531452255404
277,77,distance,5,0.8240440741958815,0.013650164535655325,0.006104539161156431
278,145,distance,1,0.8256972815633205,0.015336280230518475,0.00685859302348509
279,114,distance,4,0.8240012771948491,0.012557427700283088,0.005615852392074368
280,123,distance,4,0.8245411630826158,0.012807369807499558,0.005727629900509481
281,155,distance,3,0.8246440216536775,0.012796950833734791,0.00572297039379072
282,125,distance,4,0.8243917699385216,0.012724852423363098,0.005690727004458564
283,98,distance,2,0.8240983508823423,0.013166842088367959,0.00588839079171921
284,9,distance,2,0.7901777443146977,0.01390554663399654,0.0062187495075819305
285,181,uniform,1,0.829808134149026,0.017813529365085908,0.007966452515904152
286,95,distance,5,0.8228184142736599,0.012813627126539884,0.005730428258655696
287,98,distance,3,0.8234230197747369,0.012976967893645195,0.0058034764704045835
288,151,uniform,3,0.8274198469331602,0.015186157222683136,0.006791455973383781
289,185,uniform,4,0.8261395385326967,0.014991870742175308,0.006704568417878842
290,182,distance,4,0.8236461423408927,0.012228207022782886,0.005468620429176571
291,35,distance,2,0.8178328257092542,0.014843244457295032,0.006638100722631733
292,13,uniform,3,0.8165455335195677,0.014295029096616953,0.006392931360074583
293,5,uniform,1,0.7779503069984643,0.012171744095618305,0.005443369440506845
294,45,uniform,1,0.8303431572623546,0.016201152430947937,0.00724537562988711
295,56,uniform,1,0.8310215642508607,0.014999588682680311,0.006708019985801939
296,21,uniform,5,0.8238885948039559,0.015602625844567017,0.006977706403189383
297,44,distance,2,0.8206090047641759,0.014638334469871192,0.006546462190402066
298,178,distance,3,0.8240252307402031,0.012424021074477144,0.005556191135284174
299,19,distance,4,0.8106350498430286,0.013834674872740397,0.006187054692411156
300,185,distance,5,0.8234656415258991,0.01239933153722403,0.005545149638557979
301,150,uniform,1,0.8308855195781948,0.017749678702846532,0.007937897631669027
302,179,distance,3,0.8241052265735146,0.012420940103362914,0.005554813283114548
303,122,distance,2,0.8249250421909968,0.013572583216333707,0.00606984374039898
304,151,distance,4,0.8241154205472775,0.012898241090873874,0.005768268773875005
305,19,distance,2,0.811015720404719,0.015449079266894048,0.006909038286111541
306,198,uniform,1,0.8299909803641528,0.01813249040954228,0.008109096231419907
307,104,distance,2,0.8240952225902651,0.013009183032048425,0.0058178835182794205
308,6,uniform,4,0.7844586908212307,0.015680592766297546,0.007012574270586557
309,134,distance,4,0.8246394324000651,0.013217130731323436,0.005910880556548142
